type,odds,point,commence_time,home_team,away_team,bookmaker_key,bookmaker_last_update,home_offense_rank,home_points_for,home_defense_rank,home_points_against,away_offense_rank,away_points_for,away_defense_rank,away_points_against,actual_total,week,predicted_total,prediction_correct
Over,1.89,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,draftkings,2024-12-12 00:36:51+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.91,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,betus,2024-12-12 00:36:52+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.95,49.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,fanduel,2024-12-12 00:37:38+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.91,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,mybookieag,2024-12-12 00:36:06+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.88,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,lowvig,2024-12-12 00:36:51+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.87,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,betonlineag,2024-12-12 00:37:49+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.91,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,betrivers,2024-12-12 00:36:51+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.91,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,betmgm,2024-12-12 00:36:51+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.91,48.5,2024-12-13 01:15:00+00:00,San Francisco 49ers,Los Angeles Rams,bovada,2024-12-12 00:36:51+00:00,11,23.7,21,23.7,16,22.9,24,25.5,,15,,
Over,1.91,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,draftkings,2024-12-12 00:36:51+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.91,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,fanduel,2024-12-12 00:37:38+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.91,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,betonlineag,2024-12-12 00:37:49+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.93,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,lowvig,2024-12-12 00:36:51+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.91,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,betus,2024-12-12 00:36:52+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.91,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,mybookieag,2024-12-12 00:36:06+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.89,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,betrivers,2024-12-12 00:36:51+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,betmgm,2024-12-12 00:36:51+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.91,42.5,2024-12-15 18:00:00+00:00,New York Giants,Baltimore Ravens,bovada,2024-12-12 00:36:51+00:00,32,14.9,16,22.5,3,29.5,23,24.5,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,draftkings,2024-12-12 00:36:51+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.83,42.5,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,fanduel,2024-12-12 00:37:38+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.93,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,lowvig,2024-12-12 00:36:51+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,betonlineag,2024-12-12 00:37:49+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,betus,2024-12-12 00:36:52+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,mybookieag,2024-12-12 00:36:06+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.89,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,betrivers,2024-12-12 00:36:51+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,betmgm,2024-12-12 00:36:51+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,Carolina Panthers,Dallas Cowboys,bovada,2024-12-12 00:36:51+00:00,28,17.9,32,29.8,21,20.6,31,28.2,,15,,
Over,1.87,46.5,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,draftkings,2024-12-12 00:36:51+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.91,46.5,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,betus,2024-12-12 00:36:52+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.87,46.5,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,fanduel,2024-12-12 00:37:38+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.98,47.0,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,lowvig,2024-12-12 00:36:51+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.95,47.0,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,betonlineag,2024-12-12 00:37:49+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.91,46.5,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,mybookieag,2024-12-12 00:36:06+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.92,47.0,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,betrivers,2024-12-12 00:36:51+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.91,47.0,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,betmgm,2024-12-12 00:36:51+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.91,46.5,2024-12-15 18:00:00+00:00,Tennessee Titans,Cincinnati Bengals,bovada,2024-12-12 00:36:51+00:00,30,17.5,27,26.3,6,27.8,29,27.7,,15,,
Over,1.93,44.0,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,draftkings,2024-12-12 00:36:51+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.91,44.0,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,betus,2024-12-12 00:36:52+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.95,44.5,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,fanduel,2024-12-12 00:37:38+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.87,43.5,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,betonlineag,2024-12-12 00:37:49+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.88,43.5,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,lowvig,2024-12-12 00:36:51+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.91,44.0,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,mybookieag,2024-12-12 00:36:06+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.89,44.0,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,betrivers,2024-12-12 00:36:51+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.91,44.0,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,betmgm,2024-12-12 00:36:51+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.91,44.0,2024-12-15 18:00:00+00:00,Cleveland Browns,Kansas City Chiefs,bovada,2024-12-12 00:36:51+00:00,29,17.8,26,25.8,11,23.7,7,19.4,,15,,
Over,1.93,47.0,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,draftkings,2024-12-12 00:36:51+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.87,46.5,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,fanduel,2024-12-12 00:37:38+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.91,46.5,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,betonlineag,2024-12-12 00:37:49+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.93,46.5,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,lowvig,2024-12-12 00:36:51+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.91,46.5,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,betus,2024-12-12 00:36:52+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.91,47.0,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,mybookieag,2024-12-12 00:36:06+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.93,47.0,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,betrivers,2024-12-12 00:36:51+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.91,47.0,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,betmgm,2024-12-12 00:36:51+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.91,46.5,2024-12-15 18:00:00+00:00,Houston Texans,Miami Dolphins,bovada,2024-12-12 00:36:51+00:00,11,23.7,12,22.2,23,20.3,14,22.5,,15,,
Over,1.93,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,draftkings,2024-12-12 00:36:51+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.95,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,fanduel,2024-12-12 00:37:38+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.88,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,betonlineag,2024-12-12 00:37:49+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.91,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,lowvig,2024-12-12 00:36:51+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.91,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,betus,2024-12-12 00:36:52+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.91,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,mybookieag,2024-12-12 00:36:06+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.91,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,betrivers,2024-12-12 00:36:51+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.91,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,betmgm,2024-12-12 00:36:51+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.87,40.5,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,New York Jets,bovada,2024-12-12 00:36:51+00:00,26,18.3,28,26.5,25,19.3,19,23.1,,15,,
Over,1.95,43.5,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,draftkings,2024-12-12 00:36:51+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,betus,2024-12-12 00:36:52+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.95,43.5,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,fanduel,2024-12-12 00:37:38+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.91,43.5,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,betonlineag,2024-12-12 00:37:49+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.93,43.5,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,lowvig,2024-12-12 00:36:51+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,mybookieag,2024-12-12 00:36:06+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.89,43.0,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,betrivers,2024-12-12 00:36:51+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.91,43.0,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,betmgm,2024-12-12 00:36:51+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.91,43.5,2024-12-15 18:00:00+00:00,New Orleans Saints,Washington Commanders,bovada,2024-12-12 00:36:51+00:00,17,22.3,14,22.5,4,28.9,17,22.8,,15,,
Over,1.89,46.0,2024-12-15 21:25:00+00:00,Arizona Cardinals,New England Patriots,draftkings,2024-12-12 00:36:51+00:00,18,21.8,13,22.2,31,17.0,20,23.6,,15,,
Over,1.91,46.0,2024-12-15 21:25:00+00:00,Arizona Cardinals,New England Patriots,betus,2024-12-12 00:36:52+00:00,18,21.8,13,22.2,31,17.0,20,23.6,,15,,
Over,1.96,46.5,2024-12-15 21:25:00+00:00,Arizona Cardinals,New England Patriots,fanduel,2024-12-12 00:37:38+00:00,18,21.8,13,22.2,31,17.0,20,23.6,,15,,
Over,1.93,46.0,2024-12-15 21:25:00+00:00,Arizona Cardinals,New England Patriots,lowvig,2024-12-12 00:36:51+00:00,18,21.8,13,22.2,31,17.0,20,23.6,,15,,
Over,1.91,46.0,2024-12-15 21:25:00+00:00,Arizona Cardinals,New England Patriots,betonlineag,2024-12-12 00:37:49+00:00,18,21.8,13,22.2,31,17.0,20,23.6,,15,,
