name,price,point,id,sport_key,commence_time,home_team,away_team,bookmakers.key,bookmakers.last_update
Over,1.89,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,draftkings,2024-12-12T00:36:51Z
Under,1.93,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,draftkings,2024-12-12T00:36:51Z
Over,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betus,2024-12-12T00:36:52Z
Under,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betus,2024-12-12T00:36:52Z
Over,1.95,49.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,fanduel,2024-12-12T00:37:38Z
Under,1.87,49.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,fanduel,2024-12-12T00:37:38Z
Over,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,mybookieag,2024-12-12T00:36:06Z
Under,1.91,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,mybookieag,2024-12-12T00:36:06Z
Over,1.88,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,lowvig,2024-12-12T00:36:51Z
Under,1.98,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,lowvig,2024-12-12T00:36:51Z
Over,1.87,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betonlineag,2024-12-12T00:37:49Z
Under,1.95,48.5,b89ffb3a984d693fd6e69cdc3f2d585a,americanfootball_nfl,2024-12-13T01:15:00Z,San Francisco 49ers,Los Angeles Rams,betonlineag,2024-12-12T00:37:49Z
