Offense_Rank,Team,Points_For,Defense_Rank,Points_Against
1,Detroit,32.1,2,18.0
2,Buffalo,30.5,8,20.6
3,Baltimore,29.5,23,24.5
4,Washington,28.9,17,22.8
5,Tampa Bay,27.9,22,23.8
6,Cincinnati,27.8,29,27.7
7,Green Bay,26.8,9,21.1
8,Philadelphia,26.3,2,18.0
9,Minnesota,26.1,6,18.5
10,Pittsburgh,24.8,5,18.3
11,Houston,23.7,12,22.2
11,Kansas City,23.7,7,19.4
11,San Francisco,23.7,21,23.7
14,Denver,23.5,2,18.0
15,Seattle,23.2,11,21.8
16,LA Rams,22.9,24,25.5
17,New Orleans,22.3,14,22.5
18,Arizona,21.8,13,22.2
19,Atlanta,21.4,25,25.6
20,LA Chargers,21.3,1,15.9
21,Dallas,20.6,31,28.2
22,Indianapolis,20.5,18,22.9
23,Miami,20.3,14,22.5
24,Chicago,19.5,10,21.4
25,NY Jets,19.3,19,23.1
26,Jacksonville,18.3,28,26.5
27,Las Vegas,18.2,30,27.8
28,Carolina,17.9,32,29.8
29,Cleveland,17.8,26,25.8
30,Tennessee,17.5,27,26.3
31,New England,17.0,20,23.6
32,NY Giants,14.9,16,22.5
